Store_ID,Invoice_No,Till_No,Item_No,Txn_Date,SKU_Code,Item_Desc,Qty,Unit,Unit_Price,Price,Cust_ID,Emp_ID
1,100012,1,1,01-Jan-16,SKU032,Breakfast Cereals,0.25,Kg,55,13.75,23464,EMP001
1,100012,1,2,01-Jan-16,SKU076,Fruit Juices,0.5,Litre,67,33.5,23464,EMP001
1,100012,1,3,01-Jan-16,SKU208,Noodles,1,Pack,55,55,23464,EMP001
1,100012,1,4,01-Jan-16,SKU048,Cut Vegetables,0.25,Kg,67,16.75,23464,EMP001
1,100017,1,1,01-Jan-16,SKU004,Apple,0.25,Kg,220,55,23469,EMP001
1,100017,1,2,01-Jan-16,SKU283,Sauces & Salad Dressing,1,Pack,33,33,23469,EMP001
1,100018,1,1,01-Jan-16,SKU032,Breakfast Cereals,0.25,Kg,55,13.75,23470,EMP001
1,100018,1,2,01-Jan-16,SKU037,Buns,12,Unit,10,120,23470,EMP001
1,100018,1,3,01-Jan-16,SKU038,Butter,0.25,Kg,300,75,23470,EMP001
1,100018,1,4,01-Jan-16,SKU039,Cakes,0.25,Kg,650,162.5,23470,EMP001
1,100018,1,5,01-Jan-16,SKU040,Candles,12,Unit,10,120,23470,EMP001
1,100018,1,6,01-Jan-16,SKU041,Canned Food,1,Pack,35,35,23470,EMP001
1,100018,1,7,01-Jan-16,SKU042,Canned Fruits,1,Pack,45,45,23470,EMP001
1,100018,1,8,01-Jan-16,SKU043,Cawliflower,0.25,Kg,89,22.25,23470,EMP001
1,100018,1,9,01-Jan-16,SKU044,Cereals,0.25,Kg,34,8.5,23470,EMP001
1,100018,1,10,01-Jan-16,SKU045,Chewing Gums,1,Unit,10,10,23470,EMP001
1,100018,1,11,01-Jan-16,SKU046,Crockery,6,Unit,35,210,23470,EMP001
1,100018,1,12,01-Jan-16,SKU047,Cup & Saucer,6,Unit,45,270,23470,EMP001
1,100018,1,13,01-Jan-16,SKU076,Fruit Juices,0.5,Litre,67,33.5,23470,EMP001
1,100018,1,14,01-Jan-16,SKU208,Noodles,1,Pack,55,55,23470,EMP001
1,100018,1,15,01-Jan-16,SKU216,Onion,0.25,Kg,35,8.75,23470,EMP001
1,100018,1,16,01-Jan-16,SKU256,Potato Chips,1,Pack,54,54,23470,EMP001
1,100018,1,17,01-Jan-16,SKU278,Salad Dressings,1,Pack,25,25,23470,EMP001
1,100018,1,18,01-Jan-16,SKU031,Bread,1,Pack,35,35,23470,EMP001
1,100018,1,19,01-Jan-16,SKU265,Rawa Sooji,0.25,Kg,56,14,23470,EMP001
1,100023,1,1,01-Jan-16,SKU048,Cut Vegetables,0.25,Kg,67,16.75,23475,EMP001
1,100023,1,2,01-Jan-16,SKU049,Dahi,0.25,Kg,70,17.5,23475,EMP001
1,100023,1,3,01-Jan-16,SKU050,Desserts,3,Unit,20,60,23475,EMP001
1,100023,1,4,01-Jan-16,SKU051,Detergents,1,Pack,150,150,23475,EMP001
1,100029,1,1,01-Jan-16,SKU043,Cawliflower,0.25,Kg,89,22.25,23481,EMP001
1,100029,1,2,01-Jan-16,SKU044,Cereals,0.25,Kg,34,8.5,23481,EMP001
1,100029,1,3,01-Jan-16,SKU048,Cut Vegetables,0.25,Kg,67,16.75,23481,EMP001
1,100029,1,4,01-Jan-16,SKU049,Dahi,0.25,Kg,70,17.5,23481,EMP001
1,100029,1,5,01-Jan-16,SKU076,Fruit Juices,0.5,Litre,67,33.5,23481,EMP001
1,100029,1,6,01-Jan-16,SKU034,Brinjal,0.25,Kg,67,16.75,23481,EMP001
1,100031,1,1,01-Jan-16,SKU054,Eggs,12,Unit,10,120,23483,EMP001
1,100031,1,2,01-Jan-16,SKU062,Flavoured Cookies,1,Pack,25,25,23483,EMP001
1,100031,1,3,01-Jan-16,SKU256,Potato Chips,1,Pack,54,54,23483,EMP001
1,100031,1,4,01-Jan-16,SKU130,Juices,0.5,Litre,66,33,23483,EMP001
1,100031,1,5,01-Jan-16,SKU278,Salad Dressings,2,Pack,25,50,23483,EMP001
1,100031,1,6,01-Jan-16,SKU271,Rice,0.25,Kg,68,17,23483,EMP001
1,100037,1,1,01-Jan-16,SKU020,Black Chocolate,1,Pack,15,15,23489,EMP001
1,100037,1,2,01-Jan-16,SKU038,Butter,0.25,Kg,300,75,23489,EMP001
1,100037,1,3,01-Jan-16,SKU040,Candles,5,Unit,10,50,23489,EMP001
1,100037,1,4,01-Jan-16,SKU031,Bread,1,Pack,35,35,23489,EMP001
1,100037,1,5,01-Jan-16,SKU039,Cakes,0.25,Kg,650,162.5,23489,EMP001
1,100037,1,6,01-Jan-16,SKU246,Plain Biscuits,1,Pack,20,20,23489,EMP001
1,100044,1,1,01-Jan-16,SKU054,Eggs,6,Unit,10,60,23496,EMP001
1,100101,1,1,01-Jan-16,SKU001,Aerated Drinks,0.5,Litre,55,27.5,23553,EMP001
1,100101,1,2,01-Jan-16,SKU278,Salad Dressings,1,Pack,25,25,23553,EMP001
1,100101,1,3,01-Jan-16,SKU003,Appalams,0.25,Kg,45,11.25,23553,EMP001
1,100101,1,4,01-Jan-16,SKU004,Apple,0.25,Kg,220,55,23553,EMP001
1,100101,1,5,01-Jan-16,SKU005,Atta,0.5,Kg,60,30,23553,EMP001
1,100101,1,6,01-Jan-16,SKU006,Auto Accessories,1,Unit,500,500,23553,EMP001
1,100101,1,7,01-Jan-16,SKU007,Baby Grooming,1,Pack,250,250,23553,EMP001
1,100101,1,8,01-Jan-16,SKU008,Badminton,1,Unit,450,450,23553,EMP001
1,100101,1,9,01-Jan-16,SKU009,Baking Powder,1,Pack,15,15,23553,EMP001
1,100101,1,10,01-Jan-16,SKU010,Banana,0.5,Kg,60,30,23553,EMP001
1,100102,1,1,01-Jan-16,SKU011,Bandage,4,Unit,3,12,23554,EMP001
1,100102,1,2,01-Jan-16,SKU012,Basket Ball,2,Unit,260,520,23554,EMP001
1,100102,1,3,01-Jan-16,SKU013,Batter,0.5,Kg,110,55,23554,EMP001
1,100102,1,4,01-Jan-16,SKU014,Beans,0.5,Kg,89,44.5,23554,EMP001
1,100102,1,5,01-Jan-16,SKU015,Bed Sheets,2,Unit,450,900,23554,EMP001
1,100102,1,6,01-Jan-16,SKU016,Berries,0.5,Kg,145,72.5,23554,EMP001
1,100102,1,7,01-Jan-16,SKU017,Besan,0.5,Kg,76,38,23554,EMP001
1,100102,1,8,01-Jan-16,SKU018,Beverages,0.5,Litre,77,38.5,23554,EMP001
1,100102,1,9,01-Jan-16,SKU019,Biscuits,1,Pack,15,15,23554,EMP001
1,100102,1,10,01-Jan-16,SKU023,Body Lotion,1,Pack,89,89,23554,EMP001
1,100102,1,11,01-Jan-16,SKU024,Boiled Rice,0.5,Kg,50,25,23554,EMP001
1,100102,1,12,01-Jan-16,SKU031,Bread,1,Pack,35,35,23554,EMP001
1,100102,1,13,01-Jan-16,SKU032,Breakfast Cereals,0.5,Kg,55,27.5,23554,EMP001
1,100102,1,14,01-Jan-16,SKU034,Brinjal,0.5,Kg,67,33.5,23554,EMP001
1,100102,1,15,01-Jan-16,SKU043,Cawliflower,0.5,Kg,89,44.5,23554,EMP001
1,100102,1,16,01-Jan-16,SKU044,Cereals,0.5,Kg,34,17,23554,EMP001
1,100102,1,17,01-Jan-16,SKU048,Cut Vegetables,0.5,Kg,67,33.5,23554,EMP001
1,100102,1,18,01-Jan-16,SKU049,Dahi,0.5,Kg,70,35,23554,EMP001
1,100102,1,19,01-Jan-16,SKU076,Fruit Juices,0.5,Litre,67,33.5,23554,EMP001
1,100102,1,20,01-Jan-16,SKU093,Soaps,0.5,Unit,35,17.5,23554,EMP001
1,100102,1,21,01-Jan-16,SKU276,Safflower Oil,0.5,Litre,125,62.5,23554,EMP001
1,100102,1,22,01-Jan-16,SKU181,Milk,1,Litre,50,50,23554,EMP001
