"rules","support","confidence","coverage","lift","count","lhs_suuport","rhs_support"
"{Butter} => {Bread}",0.103614457831325,0.843137254901961,0.12289156626506,3.88779956427015,43,0.12289156626506,0.216867469879518
"{Banana} => {Apple}",0.0554216867469879,0.92,0.0602409638554217,6.06031746031746,23,0.0602409638554217,0.151807228915663
"{Regular Eggs} => {Raw Chicken}",0.0530120481927711,0.846153846153846,0.0626506024096386,6.502849002849,22,0.0626506024096386,0.130120481927711
"{Other Cereals} => {Others}",0.0602409638554217,0.862068965517241,0.0698795180722892,10.5223123732252,25,0.0698795180722892,0.0819277108433735
"{Others} => {Other Cereals}",0.0602409638554217,0.735294117647059,0.0819277108433735,10.5223123732252,25,0.0819277108433735,0.0698795180722891
"{Other Cereals} => {Other Flours}",0.0602409638554217,0.862068965517241,0.0698795180722892,10.2216748768473,25,0.0698795180722892,0.0843373493975904
"{Other Flours} => {Other Cereals}",0.0602409638554217,0.714285714285714,0.0843373493975904,10.2216748768473,25,0.0843373493975904,0.0698795180722891
"{Other Cereals} => {Other Dals}",0.0698795180722892,1,0.0698795180722892,10.6410256410256,29,0.0698795180722892,0.0939759036144578
"{Other Dals} => {Other Cereals}",0.0698795180722892,0.743589743589744,0.0939759036144578,10.6410256410256,29,0.0939759036144578,0.0698795180722892
"{Other Cereals} => {Potato Chips}",0.0506024096385542,0.724137931034483,0.0698795180722892,4.62334217506631,21,0.0698795180722892,0.156626506024096
"{Other Cereals} => {Onion}",0.0602409638554217,0.862068965517241,0.0698795180722892,5.96264367816092,25,0.0698795180722892,0.144578313253012
"{Other Cereals} => {Noodles}",0.0506024096385542,0.724137931034483,0.0698795180722892,4.84705228031146,21,0.0698795180722892,0.149397590361446
"{Garlic} => {Groundnut Oil}",0.0578313253012048,0.827586206896552,0.0698795180722892,9.28238583410997,24,0.0698795180722892,0.0891566265060241
"{Groundnut Oil} => {Garlic}",0.0578313253012048,0.648648648648649,0.0891566265060241,9.28238583410997,24,0.0891566265060241,0.0698795180722891
"{Garlic} => {Dahi}",0.0506024096385542,0.724137931034483,0.0698795180722892,6.01034482758621,21,0.0698795180722892,0.120481927710843
"{Garlic} => {Fruit Juices}",0.0650602409638554,0.931034482758621,0.0698795180722891,5.51970443349754,27,0.0698795180722891,0.168674698795181
"{Cawliflower} => {Brinjal}",0.0795180722891566,0.785714285714286,0.101204819277108,6.79315476190476,33,0.101204819277108,0.11566265060241
"{Brinjal} => {Cawliflower}",0.0795180722891566,0.6875,0.11566265060241,6.79315476190476,33,0.11566265060241,0.101204819277108
"{Cawliflower} => {Dahi}",0.0626506024096386,0.619047619047619,0.101204819277108,5.13809523809524,26,0.101204819277108,0.120481927710843
"{Dahi} => {Cawliflower}",0.0626506024096386,0.52,0.120481927710843,5.13809523809524,26,0.120481927710843,0.101204819277108
"{Cawliflower} => {Cereals}",0.0819277108433735,0.80952380952381,0.101204819277108,6.58730158730159,34,0.101204819277108,0.12289156626506
"{Cereals} => {Cawliflower}",0.0819277108433735,0.666666666666667,0.12289156626506,6.58730158730159,34,0.12289156626506,0.101204819277108
"{Cawliflower} => {Cut Vegetables}",0.0650602409638554,0.642857142857143,0.101204819277108,4.52179176755448,27,0.101204819277108,0.142168674698795
"{Cawliflower} => {Fruit Juices}",0.0530120481927711,0.523809523809524,0.101204819277108,3.10544217687075,22,0.101204819277108,0.168674698795181
"{Groundnut Oil} => {Dahi}",0.0530120481927711,0.594594594594595,0.0891566265060241,4.93513513513514,22,0.0891566265060241,0.120481927710843
"{Groundnut Oil} => {Cut Vegetables}",0.0530120481927711,0.594594594594595,0.0891566265060241,4.18231791113147,22,0.0891566265060241,0.142168674698795
"{Groundnut Oil} => {Soaps}",0.0554216867469879,0.621621621621622,0.0891566265060241,4.77727727727728,23,0.0891566265060241,0.130120481927711
"{Groundnut Oil} => {Fruit Juices}",0.0674698795180723,0.756756756756757,0.0891566265060241,4.48648648648649,28,0.0891566265060241,0.168674698795181
"{Raw Rice} => {Potato}",0.0506024096385542,0.6,0.0843373493975904,7.11428571428571,21,0.0843373493975904,0.0843373493975904
"{Potato} => {Raw Rice}",0.0506024096385542,0.6,0.0843373493975904,7.11428571428571,21,0.0843373493975904,0.0843373493975904
"{Raw Rice} => {Rawa Sooji}",0.0674698795180723,0.8,0.0843373493975904,5.1875,28,0.0843373493975904,0.15421686746988
"{Raw Rice} => {Pulses}",0.0674698795180723,0.8,0.0843373493975904,9.48571428571429,28,0.0843373493975904,0.0843373493975904
"{Pulses} => {Raw Rice}",0.0674698795180723,0.8,0.0843373493975904,9.48571428571429,28,0.0843373493975904,0.0843373493975904
"{Raw Rice} => {Raw Mutton}",0.0698795180722892,0.828571428571429,0.0843373493975904,7.64126984126984,29,0.0843373493975904,0.108433734939759
"{Raw Mutton} => {Raw Rice}",0.0698795180722892,0.644444444444444,0.108433734939759,7.64126984126984,29,0.108433734939759,0.0843373493975904
"{Raw Rice} => {Raw Chicken}",0.0771084337349398,0.914285714285714,0.0843373493975904,7.02645502645503,32,0.0843373493975904,0.130120481927711
"{Raw Chicken} => {Raw Rice}",0.0771084337349398,0.592592592592593,0.130120481927711,7.02645502645503,32,0.130120481927711,0.0843373493975904
"{Raw Rice} => {Potato Chips}",0.0578313253012048,0.685714285714286,0.0843373493975904,4.37802197802198,24,0.0843373493975904,0.156626506024096
"{Raw Rice} => {Onion}",0.0530120481927711,0.628571428571429,0.0843373493975904,4.34761904761905,22,0.0843373493975904,0.144578313253012
"{Biscuits} => {Boiled Rice}",0.0506024096385542,0.65625,0.0771084337349398,7.36064189189189,21,0.0771084337349398,0.0891566265060241
"{Boiled Rice} => {Biscuits}",0.0506024096385542,0.567567567567568,0.0891566265060241,7.36064189189189,21,0.0891566265060241,0.0771084337349398
"{Biscuits} => {Black Chocolate}",0.0698795180722892,0.90625,0.0771084337349398,9.64342948717949,29,0.0771084337349398,0.0939759036144578
"{Black Chocolate} => {Biscuits}",0.0698795180722892,0.743589743589744,0.0939759036144578,9.64342948717949,29,0.0939759036144578,0.0771084337349398
"{Biscuits} => {Body Lotion}",0.0602409638554217,0.78125,0.0771084337349398,9.53584558823529,25,0.0771084337349398,0.0819277108433735
"{Body Lotion} => {Biscuits}",0.0602409638554217,0.735294117647059,0.0819277108433735,9.5358455882353,25,0.0819277108433735,0.0771084337349398
"{Potato} => {Pulses}",0.0674698795180723,0.8,0.0843373493975904,9.48571428571429,28,0.0843373493975904,0.0843373493975904
"{Pulses} => {Potato}",0.0674698795180723,0.8,0.0843373493975904,9.48571428571429,28,0.0843373493975904,0.0843373493975904
"{Potato} => {Raw Mutton}",0.0506024096385542,0.6,0.0843373493975904,5.53333333333333,21,0.0843373493975904,0.108433734939759
"{Potato} => {Others}",0.0626506024096386,0.742857142857143,0.0843373493975904,9.0672268907563,26,0.0843373493975904,0.0819277108433735
"{Others} => {Potato}",0.0626506024096386,0.764705882352941,0.0819277108433735,9.0672268907563,26,0.0819277108433735,0.0843373493975904
"{Potato} => {Other Flours}",0.0530120481927711,0.628571428571429,0.0843373493975904,7.4530612244898,22,0.0843373493975904,0.0843373493975904
"{Other Flours} => {Potato}",0.0530120481927711,0.628571428571429,0.0843373493975904,7.4530612244898,22,0.0843373493975904,0.0843373493975904
"{Potato} => {Other Dals}",0.0554216867469879,0.657142857142857,0.0843373493975904,6.99267399267399,23,0.0843373493975904,0.0939759036144578
"{Other Dals} => {Potato}",0.0554216867469879,0.58974358974359,0.0939759036144578,6.99267399267399,23,0.0939759036144578,0.0843373493975904
"{Potato} => {Raw Chicken}",0.0602409638554217,0.714285714285714,0.0843373493975904,5.48941798941799,25,0.0843373493975904,0.130120481927711
"{Potato} => {Potato Chips}",0.0771084337349398,0.914285714285714,0.0843373493975904,5.83736263736264,32,0.0843373493975904,0.156626506024096
"{Potato} => {Onion}",0.0530120481927711,0.628571428571429,0.0843373493975904,4.34761904761905,22,0.0843373493975904,0.144578313253012
"{Potato} => {Milk}",0.0506024096385542,0.6,0.0843373493975904,3.32,21,0.0843373493975904,0.180722891566265
"{Boiled Rice} => {Black Chocolate}",0.0578313253012048,0.648648648648649,0.0891566265060241,6.9022869022869,24,0.0891566265060241,0.0939759036144578
"{Black Chocolate} => {Boiled Rice}",0.0578313253012048,0.615384615384615,0.0939759036144578,6.9022869022869,24,0.0939759036144578,0.0891566265060241
"{Boiled Rice} => {Body Lotion}",0.072289156626506,0.810810810810811,0.0891566265060241,9.8966613672496,30,0.0891566265060241,0.0819277108433735
"{Body Lotion} => {Boiled Rice}",0.072289156626506,0.882352941176471,0.0819277108433735,9.8966613672496,30,0.0819277108433735,0.0891566265060241
"{Boiled Rice} => {Breakfast Cereals}",0.0578313253012048,0.648648648648649,0.0891566265060241,4.98498498498499,24,0.0891566265060241,0.130120481927711
"{Boiled Rice} => {Bread}",0.0602409638554217,0.675675675675676,0.0891566265060241,3.11561561561562,25,0.0891566265060241,0.216867469879518
"{Black Chocolate} => {Body Lotion}",0.0674698795180723,0.717948717948718,0.0939759036144578,8.763197586727,28,0.0939759036144578,0.0819277108433735
"{Body Lotion} => {Black Chocolate}",0.0674698795180723,0.823529411764706,0.0819277108433735,8.763197586727,28,0.0819277108433735,0.0939759036144578
"{Black Chocolate} => {Bread}",0.0530120481927711,0.564102564102564,0.0939759036144578,2.6011396011396,22,0.0939759036144578,0.216867469879518
"{Pulses} => {Rawa Sooji}",0.0530120481927711,0.628571428571429,0.0843373493975904,4.07589285714286,22,0.0843373493975904,0.15421686746988
"{Raw Mutton} => {Rawa Sooji}",0.0602409638554217,0.555555555555556,0.108433734939759,3.60243055555556,25,0.108433734939759,0.15421686746988
